origin_id,destination_id,fare_id
BEG,PRG,F_30
BEG,PAR,F_18
BEG,ROP,F_18
BEG,PRN,F_12
BEG,BEG,F_12
BEG,AME_B,F_12
BEG,MUN,F_18
BEG,YUG,F_18
BEG,JR5,F_30
BEG,JCP,F_30
BEG,PED,F_40
BEG,MAD,F_40
BEG,DGC,F_50
BEG,HTC,F_50
BEG,RDG,F_50
BEG,MYP,F_55
BEG,JNT,F_50
BEG,KPH,F_50
BEG,KUK,F_40
BEG,BLR,F_40
BEG,MSP,F_40
BEG,BTN,F_30
BEG,ERA,F_30
BEG,ESI,F_18
BEG,SRN,F_18
BEG,AME_R,F_12
BEG,PUN,F_18
BEG,IRM,F_18
BEG,KHA,F_30
BEG,LKP,F_30
BEG,ASM,F_40
BEG,NAM,F_40
BEG,GAB,F_40
BEG,OMC,F_50
BEG,MGB_R,F_55
BEG,MKL,F_50
BEG,NEM,F_50
BEG,MSB,F_55
BEG,DSN,F_55
BEG,CHP,F_60
BEG,VOM,F_60
BEG,LBN,F_66
BEG,JBS,F_30
BEG,SCR,F_40
BEG,GNH,F_40
BEG,MSH,F_40
BEG,RTC,F_50
BEG,CDP,F_50
BEG,NAR,F_50
BEG,SUB,F_55
BEG,MGB_G,F_55
AME_B,NAG,F_60
AME_B,UPL,F_60
AME_B,STD,F_55
AME_B,NGR,F_55
AME_B,HSG,F_55
AME_B,TAR,F_50
AME_B,MET,F_50
AME_B,SEC_E,F_40
AME_B,PRG,F_40
AME_B,PAR,F_30
AME_B,ROP,F_30
AME_B,PRN,F_18
AME_B,BEG,F_12
AME_B,AME_B,F_12
AME_B,MUN,F_12
AME_B,YUG,F_18
AME_B,JR5,F_18
AME_B,JCP,F_30
AME_B,PED,F_30
AME_B,MAD,F_40
AME_B,DGC,F_40
AME_B,HTC,F_40
AME_B,RDG,F_50
AME_B,MYP,F_50
AME_B,JNT,F_50
AME_B,KPH,F_40
AME_B,KUK,F_40
AME_B,BLR,F_30
AME_B,MSP,F_30
AME_B,BTN,F_18
AME_B,ERA,F_18
AME_B,ESI,F_12
AME_B,SRN,F_12
AME_B,AME_R,F_12
AME_B,PUN,F_12
AME_B,IRM,F_18
AME_B,KHA,F_18
AME_B,LKP,F_30
AME_B,ASM,F_30
AME_B,NAM,F_30
AME_B,GAB,F_40
AME_B,OMC,F_40
AME_B,MGB_R,F_40
AME_B,MKL,F_50
AME_B,NEM,F_50
AME_B,MSB,F_50
AME_B,DSN,F_55
AME_B,CHP,F_55
AME_B,VOM,F_60
AME_B,LBN,F_60
AME_B,JBS,F_40
AME_B,SCR,F_40
AME_B,GNH,F_40
AME_B,MSH,F_50
AME_B,RTC,F_50
AME_B,CDP,F_50
AME_B,NAR,F_50
AME_B,SUB,F_50
AME_B,MGB_G,F_40
MUN,NAG,F_60
MUN,UPL,F_60
MUN,STD,F_60
MUN,NGR,F_55
MUN,HSG,F_55
MUN,TAR,F_50
MUN,MET,F_50
MUN,SEC_E,F_40
MUN,PRG,F_40
MUN,PAR,F_30
MUN,ROP,F_30
MUN,PRN,F_18
MUN,BEG,F_18
MUN,AME_B,F_12
MUN,MUN,F_12
MUN,YUG,F_12
MUN,JR5,F_18
MUN,JCP,F_18
MUN,PED,F_30
MUN,MAD,F_30
MUN,DGC,F_40
MUN,HTC,F_40
MUN,RDG,F_50
MUN,MYP,F_55
MUN,JNT,F_50
MUN,KPH,F_40
MUN,KUK,F_40
MUN,BLR,F_30
MUN,MSP,F_30
MUN,BTN,F_30
MUN,ERA,F_18
MUN,ESI,F_18
MUN,SRN,F_12
MUN,AME_R,F_12
MUN,PUN,F_12
MUN,IRM,F_18
MUN,KHA,F_18
MUN,LKP,F_30
MUN,ASM,F_40
MUN,NAM,F_40
MUN,GAB,F_40
MUN,OMC,F_40
MUN,MGB_R,F_50
MUN,MKL,F_50
MUN,NEM,F_50
MUN,MSB,F_55
MUN,DSN,F_55
MUN,CHP,F_55
MUN,VOM,F_60
MUN,LBN,F_60
MUN,JBS,F_40
MUN,SCR,F_40
MUN,GNH,F_50
MUN,MSH,F_50
MUN,RTC,F_50
MUN,CDP,F_55
MUN,NAR,F_50
MUN,SUB,F_50
MUN,MGB_G,F_50
YUG,NAG,F_66
YUG,UPL,F_60
YUG,STD,F_60
YUG,NGR,F_60
YUG,HSG,F_55
YUG,TAR,F_55
YUG,MET,F_50
YUG,SEC_E,F_50
YUG,PRG,F_40
YUG,PAR,F_40
YUG,ROP,F_40
YUG,PRN,F_30
YUG,BEG,F_18
YUG,AME_B,F_18
YUG,MUN,F_12
YUG,YUG,F_12
YUG,JR5,F_12
YUG,JCP,F_18
YUG,PED,F_18
YUG,MAD,F_18
YUG,DGC,F_30
YUG,HTC,F_40
YUG,RDG,F_40
YUG,MYP,F_55
YUG,JNT,F_50
YUG,KPH,F_50
YUG,KUK,F_40
YUG,BLR,F_40
YUG,MSP,F_40
YUG,BTN,F_30
YUG,ERA,F_30
YUG,ESI,F_18
YUG,SRN,F_18
YUG,AME_R,F_18
YUG,PUN,F_18
YUG,IRM,F_30
YUG,KHA,F_30
YUG,LKP,F_40
YUG,ASM,F_40
YUG,NAM,F_40
YUG,GAB,F_40
YUG,OMC,F_50
YUG,MGB_R,F_50
YUG,MKL,F_50
YUG,NEM,F_55
YUG,MSB,F_55
YUG,DSN,F_60
YUG,CHP,F_60
YUG,VOM,F_60
YUG,LBN,F_66
YUG,JBS,F_40
YUG,SCR,F_50
YUG,GNH,F_50
YUG,MSH,F_50
YUG,RTC,F_55
YUG,CDP,F_55
YUG,NAR,F_55
YUG,SUB,F_60
YUG,MGB_G,F_60
JR5,NAG,F_66
JR5,UPL,F_66
JR5,STD,F_60
JR5,NGR,F_60
JR5,HSG,F_60
JR5,TAR,F_55
JR5,MET,F_55
JR5,SEC_E,F_50
JR5,PRG,F_50
JR5,PAR,F_40
JR5,ROP,F_40
JR5,PRN,F_30
JR5,BEG,F_30
JR5,AME_B,F_18
JR5,MUN,F_18
JR5,YUG,F_12
JR5,JR5,F_12
JR5,JCP,F_12
JR5,PED,F_12
JR5,MAD,F_18
JR5,DGC,F_30
JR5,HTC,F_30
JR5,RDG,F_40
JR5,MYP,F_55
JR5,JNT,F_55
JR5,KPH,F_50
JR5,KUK,F_50
JR5,BLR,F_40
JR5,MSP,F_40
JR5,BTN,F_40
JR5,ERA,F_30
JR5,ESI,F_30
JR5,SRN,F_18
JR5,AME_R,F_18
JR5,PUN,F_30
JR5,IRM,F_30
JR5,KHA,F_40
JR5,LKP,F_40
JR5,ASM,F_40
JR5,NAM,F_40
JR5,GAB,F_50
JR5,OMC,F_50
JR5,MGB_R,F_50
JR5,MKL,F_55
JR5,NEM,F_55
JR5,MSB,F_55
JR5,DSN,F_60
JR5,CHP,F_60
JR5,VOM,F_66
JR5,LBN,F_66
JR5,JBS,F_50
JR5,SCR,F_50
JR5,GNH,F_50
JR5,MSH,F_55
JR5,RTC,F_55
JR5,CDP,F_60
JR5,NAR,F_55
JR5,SUB,F_60
JR5,MGB_G,F_60
JCP,NAG,F_66
JCP,UPL,F_66
JCP,STD,F_66
JCP,NGR,F_60
JCP,HSG,F_60
JCP,TAR,F_60
JCP,MET,F_55
JCP,SEC_E,F_55
JCP,PRG,F_50
JCP,PAR,F_50
JCP,ROP,F_40
JCP,PRN,F_40
JCP,BEG,F_30
JCP,AME_B,F_30
JCP,MUN,F_18
JCP,YUG,F_18
JCP,JR5,F_12
JCP,JCP,F_12
JCP,PED,F_12
JCP,MAD,F_12
JCP,DGC,F_18
JCP,HTC,F_30
JCP,RDG,F_30
JCP,MYP,F_60
JCP,JNT,F_55
JCP,KPH,F_55
JCP,KUK,F_50
JCP,BLR,F_50
JCP,MSP,F_40
JCP,BTN,F_40
JCP,ERA,F_40
JCP,ESI,F_30
JCP,SRN,F_30
JCP,AME_R,F_30
JCP,PUN,F_30
JCP,IRM,F_40
JCP,KHA,F_40
JCP,LKP,F_40
JCP,ASM,F_50
JCP,NAM,F_50
JCP,GAB,F_50
JCP,OMC,F_50
JCP,MGB_R,F_55
JCP,MKL,F_55
JCP,NEM,F_55
JCP,MSB,F_60
JCP,DSN,F_60
JCP,CHP,F_66
JCP,VOM,F_66
JCP,LBN,F_66
JCP,JBS,F_50
JCP,SCR,F_50
JCP,GNH,F_55
JCP,MSH,F_55
JCP,RTC,F_60
JCP,CDP,F_60
JCP,NAR,F_60
JCP,SUB,F_66
JCP,MGB_G,F_66
PED,NAG,F_70
PED,UPL,F_66
PED,STD,F_66
PED,NGR,F_66
PED,HSG,F_60
PED,TAR,F_60
PED,MET,F_55
PED,SEC_E,F_55
PED,PRG,F_50
PED,PAR,F_50
PED,ROP,F_40
PED,PRN,F_40
PED,BEG,F_40
PED,AME_B,F_30
PED,MUN,F_30
PED,YUG,F_18
PED,JR5,F_12
PED,JCP,F_12
PED,PED,F_12
PED,MAD,F_12
PED,DGC,F_18
PED,HTC,F_18
PED,RDG,F_30
PED,MYP,F_60
PED,JNT,F_55
PED,KPH,F_55
PED,KUK,F_50
PED,BLR,F_50
PED,MSP,F_50
PED,BTN,F_40
PED,ERA,F_40
PED,ESI,F_40
PED,SRN,F_30
PED,AME_R,F_30
PED,PUN,F_30
PED,IRM,F_40
PED,KHA,F_40
PED,LKP,F_50
PED,ASM,F_50
PED,NAM,F_50
PED,GAB,F_50
PED,OMC,F_55
PED,MGB_R,F_55
PED,MKL,F_55
PED,NEM,F_60
PED,MSB,F_60
PED,DSN,F_60
PED,CHP,F_66
PED,VOM,F_66
PED,LBN,F_70
PED,JBS,F_50
PED,SCR,F_55
PED,GNH,F_55
PED,MSH,F_55
PED,RTC,F_60
PED,CDP,F_60
PED,NAR,F_60
PED,SUB,F_66
PED,MGB_G,F_66
MAD,NAG,F_70
MAD,UPL,F_70
MAD,STD,F_66
MAD,NGR,F_66
MAD,HSG,F_66
MAD,TAR,F_60
MAD,MET,F_60
MAD,SEC_E,F_55
MAD,PRG,F_55
MAD,PAR,F_50
MAD,ROP,F_50
MAD,PRN,F_50
MAD,BEG,F_40
MAD,AME_B,F_40
MAD,MUN,F_30
MAD,YUG,F_18
MAD,JR5,F_18
MAD,JCP,F_12
MAD,PED,F_12
MAD,MAD,F_12
MAD,DGC,F_12
MAD,HTC,F_18
MAD,RDG,F_18
MAD,MYP,F_60
MAD,JNT,F_60
MAD,KPH,F_55
MAD,KUK,F_55
MAD,BLR,F_50
MAD,MSP,F_50
MAD,BTN,F_50
MAD,ERA,F_40
MAD,ESI,F_40
MAD,SRN,F_40
